review_file,predicted_sentiment
0_10.txt,positive
0_2.txt,negative
10000_4.txt,negative
10000_7.txt,positive
10001_1.txt,negative
10001_9.txt,positive
10002_3.txt,negative
10002_8.txt,positive
10003_3.txt,negative
10003_8.txt,positive
10004_2.txt,negative
10004_9.txt,positive
10005_2.txt,negative
10005_8.txt,positive
10006_2.txt,negative
10006_7.txt,positive
10007_10.txt,positive
10007_4.txt,negative
10008_4.txt,negative
10008_8.txt,positive
10009_10.txt,positive
10009_3.txt,negative
1000_3.txt,negative
1000_9.txt,positive
10010_2.txt,negative
10010_9.txt,positive
10011_1.txt,negative
10011_9.txt,positive
10012_1.txt,negative
10012_9.txt,negative
10013_4.txt,negative
10013_9.txt,positive
10014_2.txt,positive
10014_7.txt,positive
10015_4.txt,positive
10015_8.txt,positive
10016_3.txt,negative
10016_8.txt,positive
10017_1.txt,positive
10017_8.txt,positive
10018_1.txt,negative
10018_8.txt,positive
10019_1.txt,negative
10019_8.txt,positive
1001_10.txt,positive
1001_4.txt,negative
10020_1.txt,negative
10020_8.txt,positive
10021_3.txt,negative
10021_9.txt,positive
10022_10.txt,positive
10022_4.txt,negative
10023_4.txt,negative
10023_8.txt,positive
10024_3.txt,negative
10024_9.txt,negative
10025_2.txt,negative
10025_8.txt,positive
10026_10.txt,positive
10026_3.txt,negative
10027_1.txt,negative
10027_8.txt,positive
10028_10.txt,positive
10028_3.txt,negative
10029_1.txt,negative
10029_10.txt,positive
1002_3.txt,negative
1002_9.txt,positive
10030_3.txt,negative
10030_7.txt,positive
10031_2.txt,negative
10031_8.txt,positive
10032_1.txt,negative
10032_8.txt,positive
10033_1.txt,negative
10033_8.txt,positive
10034_1.txt,negative
10034_9.txt,positive
10035_1.txt,negative
10035_10.txt,positive
10036_1.txt,negative
10036_10.txt,positive
10037_1.txt,negative
10037_7.txt,positive
10038_4.txt,negative
10038_7.txt,negative
10039_1.txt,negative
10039_8.txt,positive
1003_4.txt,negative
1003_8.txt,positive
10040_10.txt,positive
10040_2.txt,negative
10041_1.txt,negative
10041_8.txt,positive
10042_1.txt,negative
10042_8.txt,positive
10043_1.txt,negative
10043_10.txt,positive
10044_2.txt,negative
10044_8.txt,positive
10045_1.txt,negative
10045_7.txt,positive
10046_10.txt,positive
10046_4.txt,positive
10047_1.txt,negative
10047_10.txt,positive
10048_1.txt,negative
10048_8.txt,positive
10049_1.txt,negative
10049_8.txt,positive
1004_10.txt,positive
1004_4.txt,positive
10050_4.txt,positive
10050_8.txt,positive
10051_2.txt,negative
10051_8.txt,positive
10052_4.txt,negative
10052_7.txt,positive
10053_10.txt,positive
10053_4.txt,positive
10054_3.txt,negative
10054_7.txt,positive
10055_1.txt,negative
10055_10.txt,positive
10056_1.txt,negative
10056_8.txt,positive
10057_1.txt,negative
10057_8.txt,positive
10058_2.txt,negative
10058_8.txt,positive
10059_1.txt,negative
10059_10.txt,positive
1005_2.txt,negative
1005_7.txt,positive
10060_10.txt,positive
10060_3.txt,negative
10061_10.txt,positive
10061_4.txt,negative
10062_4.txt,negative
10062_9.txt,negative
10063_1.txt,negative
10063_10.txt,positive
10064_10.txt,positive
10064_2.txt,negative
10065_1.txt,negative
10065_8.txt,positive
10066_1.txt,negative
10066_7.txt,negative
10067_4.txt,negative
10067_7.txt,positive
10068_3.txt,negative
10068_8.txt,positive
10069_10.txt,positive
10069_3.txt,negative
1006_3.txt,negative
1006_8.txt,positive
10070_10.txt,positive
10070_3.txt,negative
10071_2.txt,negative
10071_8.txt,positive
10072_1.txt,negative
10072_10.txt,positive
10073_3.txt,negative
10073_7.txt,negative
10074_3.txt,positive
10074_7.txt,positive
10075_10.txt,positive
10075_3.txt,negative
10076_10.txt,positive
10076_3.txt,negative
10077_3.txt,negative
10077_7.txt,positive
10078_10.txt,positive
10078_3.txt,negative
10079_1.txt,negative
10079_10.txt,positive
1007_4.txt,negative
1007_9.txt,positive
10080_1.txt,negative
10080_10.txt,positive
10081_1.txt,negative
10081_10.txt,negative
10082_1.txt,negative
10082_8.txt,positive
10083_10.txt,positive
10083_2.txt,negative
10084_10.txt,positive
10084_3.txt,negative
10085_10.txt,positive
10085_2.txt,negative
10086_1.txt,positive
10086_10.txt,positive
10087_1.txt,negative
10087_7.txt,positive
10088_1.txt,negative
10088_8.txt,positive
10089_1.txt,negative
10089_9.txt,positive
1008_10.txt,negative
1008_2.txt,negative
10090_10.txt,positive
10090_3.txt,negative
10091_1.txt,negative
10091_10.txt,positive
10092_4.txt,negative
10092_8.txt,negative
10093_1.txt,negative
10093_10.txt,positive
10094_4.txt,negative
10094_9.txt,positive
10095_3.txt,negative
10095_9.txt,positive
10096_1.txt,negative
10096_9.txt,positive
10097_10.txt,positive
10097_2.txt,negative
10098_1.txt,negative
10098_9.txt,positive
10099_4.txt,negative
10099_9.txt,positive
1009_3.txt,negative
1009_8.txt,positive
100_10.txt,positive
100_4.txt,negative
